"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"689","LOC111107938","GO:0004842","ubiquitin-protein transferase activity",1214,79,42.55,0.00721,"Molecular Functions",0.0650741350906096
"690","LOC111107938","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"691","LOC111108026","GO:0005509","calcium ion binding",846,45,29.65,0.00367,"Molecular Functions",0.0531914893617021
"692","LOC111108040","GO:0004842","ubiquitin-protein transferase activity",1214,79,42.55,0.00721,"Molecular Functions",0.0650741350906096
"693","LOC111108040","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"694","LOC111108041","GO:0004842","ubiquitin-protein transferase activity",1214,79,42.55,0.00721,"Molecular Functions",0.0650741350906096
"695","LOC111108041","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"696","LOC111108043","GO:0003723","RNA binding",833,66,29.2,1.8e-05,"Molecular Functions",0.0792316926770708
"697","LOC111108138","GO:0051015","actin filament binding",117,12,4.1,0.00083,"Molecular Functions",0.102564102564103
"698","LOC111108138","GO:0051015","actin filament binding",117,12,4.1,0.00083,"Molecular Functions",0.102564102564103
"699","LOC111108202","GO:0004842","ubiquitin-protein transferase activity",1214,79,42.55,0.00721,"Molecular Functions",0.0650741350906096
"700","LOC111108202","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"701","LOC111108492","GO:0008887","glycerate kinase activity",1,1,0.04,0.03505,"Molecular Functions",1
"702","LOC111108512","GO:0042393","histone binding",71,11,2.49,1.8e-05,"Molecular Functions",0.154929577464789
"703","LOC111108663","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"704","LOC111108725","GO:0008191","metalloendopeptidase inhibitor activity",44,6,1.54,0.00412,"Molecular Functions",0.136363636363636
"705","LOC111108725","GO:0008191","metalloendopeptidase inhibitor activity",44,6,1.54,0.00412,"Molecular Functions",0.136363636363636
"706","LOC111109197","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"707","LOC111109634","GO:0005524","ATP binding",1286,63,45.07,0.00443,"Molecular Functions",0.0489891135303266
"708","LOC111109639","GO:0003723","RNA binding",833,66,29.2,1.8e-05,"Molecular Functions",0.0792316926770708
"709","LOC111109639","GO:0003723","RNA binding",833,66,29.2,1.8e-05,"Molecular Functions",0.0792316926770708
"710","LOC111110081","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
"711","LOC111110549","GO:0030371","translation repressor activity",233,25,8.17,1.5e-06,"Molecular Functions",0.107296137339056
"712","LOC111110549","GO:0061630","ubiquitin protein ligase activity",601,46,21.06,6.4e-07,"Molecular Functions",0.0765391014975042
"713","LOC111110733","GO:0008270","zinc ion binding",2113,105,74.06,0.00014,"Molecular Functions",0.0496923805016564
