"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"173","LOC111100344","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"174","LOC111100592","GO:0003723","RNA binding",833,21,5.23,0.00153,"Molecular Functions",0.0252100840336134
"175","LOC111100592","GO:0030374","nuclear receptor transcription coactivator activity",12,2,0.08,0.00247,"Molecular Functions",0.166666666666667
"176","LOC111100708","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"177","LOC111100708","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"178","LOC111100708","GO:0070181","small ribosomal subunit rRNA binding",5,2,0.03,0.00039,"Molecular Functions",0.4
"179","LOC111103150","GO:0003729","mRNA binding",160,7,1,0.00162,"Molecular Functions",0.04375
"180","LOC111103150","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"181","LOC111103869","GO:0003924","GTPase activity",294,6,1.84,0.01066,"Molecular Functions",0.0204081632653061
"182","LOC111103869","GO:0005525","GTP binding",407,6,2.55,0.04339,"Molecular Functions",0.0147420147420147
"183","LOC111106945","GO:0003682","chromatin binding",141,8,0.88,0.00126,"Molecular Functions",0.0567375886524823
"184","LOC111106945","GO:0042393","histone binding",71,4,0.45,0.00104,"Molecular Functions",0.0563380281690141
"185","LOC111107343","GO:0003723","RNA binding",833,21,5.23,0.00153,"Molecular Functions",0.0252100840336134
"186","LOC111107343","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"187","LOC111108206","GO:0003723","RNA binding",833,21,5.23,0.00153,"Molecular Functions",0.0252100840336134
"188","LOC111108206","GO:0003950","NAD+ ADP-ribosyltransferase activity",57,2,0.36,0.04984,"Molecular Functions",0.0350877192982456
"189","LOC111108931","GO:0003755","peptidyl-prolyl cis-trans isomerase activity",53,2,0.33,0.04373,"Molecular Functions",0.0377358490566038
"190","LOC111109188","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"191","LOC111111213","GO:0004108","citrate (Si)-synthase activity",1,1,0.01,0.00628,"Molecular Functions",1
"192","LOC111111213","GO:0004108","citrate (Si)-synthase activity",1,1,0.01,0.00628,"Molecular Functions",1
"193","LOC111111579","GO:0000987","proximal promoter sequence-specific DNA binding",463,3,2.91,0.01885,"Molecular Functions",0.00647948164146868
"194","LOC111113447","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"195","LOC111113447","GO:0008569","ATP-dependent microtubule motor activity, minus-end-directed",31,2,0.19,0.01613,"Molecular Functions",0.0645161290322581
"196","LOC111113447","GO:0051959","dynein light intermediate chain binding",37,2,0.23,0.02254,"Molecular Functions",0.0540540540540541
"197","LOC111115985","GO:0003723","RNA binding",833,21,5.23,0.00153,"Molecular Functions",0.0252100840336134
"198","LOC111115985","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"199","LOC111115985","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"200","LOC111117092","GO:0043035","chromatin insulator sequence binding",21,2,0.13,0.00759,"Molecular Functions",0.0952380952380952
"201","LOC111119776","GO:0030374","nuclear receptor transcription coactivator activity",12,2,0.08,0.00247,"Molecular Functions",0.166666666666667
"202","LOC111120511","GO:0003682","chromatin binding",141,8,0.88,0.00126,"Molecular Functions",0.0567375886524823
"203","LOC111120557","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"204","LOC111120557","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"205","LOC111120557","GO:0048027","mRNA 5'-UTR binding",5,1,0.03,0.03099,"Molecular Functions",0.2
"206","LOC111120557","GO:0070181","small ribosomal subunit rRNA binding",5,2,0.03,0.00039,"Molecular Functions",0.4
"207","LOC111122264","GO:0051117","ATPase binding",7,1,0.04,0.04311,"Molecular Functions",0.142857142857143
"208","LOC111123434","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"209","LOC111123434","GO:0008569","ATP-dependent microtubule motor activity, minus-end-directed",31,2,0.19,0.01613,"Molecular Functions",0.0645161290322581
"210","LOC111123434","GO:0008569","ATP-dependent microtubule motor activity, minus-end-directed",31,2,0.19,0.01613,"Molecular Functions",0.0645161290322581
"211","LOC111123434","GO:0051959","dynein light intermediate chain binding",37,2,0.23,0.02254,"Molecular Functions",0.0540540540540541
"212","LOC111123746","GO:0003924","GTPase activity",294,6,1.84,0.01066,"Molecular Functions",0.0204081632653061
"213","LOC111123746","GO:0005200","structural constituent of cytoskeleton",18,3,0.11,0.00018,"Molecular Functions",0.166666666666667
"214","LOC111123746","GO:0005200","structural constituent of cytoskeleton",18,3,0.11,0.00018,"Molecular Functions",0.166666666666667
"215","LOC111123746","GO:0005525","GTP binding",407,6,2.55,0.04339,"Molecular Functions",0.0147420147420147
"216","LOC111123746","GO:0005525","GTP binding",407,6,2.55,0.04339,"Molecular Functions",0.0147420147420147
"217","LOC111123747","GO:0005078","MAP-kinase scaffold activity",1,1,0.01,0.00628,"Molecular Functions",1
"218","LOC111123747","GO:0008432","JUN kinase binding",1,1,0.01,0.00628,"Molecular Functions",1
"219","LOC111123747","GO:0019894","kinesin binding",8,2,0.05,0.00107,"Molecular Functions",0.25
"220","LOC111123747","GO:0030159","receptor signaling complex scaffold activity",4,1,0.03,0.02487,"Molecular Functions",0.25
"221","LOC111123831","GO:0005524","ATP binding",1286,15,8.07,0.01478,"Molecular Functions",0.0116640746500778
"222","LOC111124673","GO:0003743","translation initiation factor activity",48,2,0.3,0.03652,"Molecular Functions",0.0416666666666667
"223","LOC111124673","GO:0003924","GTPase activity",294,6,1.84,0.01066,"Molecular Functions",0.0204081632653061
"224","LOC111124673","GO:0005525","GTP binding",407,6,2.55,0.04339,"Molecular Functions",0.0147420147420147
"225","LOC111124944","GO:0004550","nucleoside diphosphate kinase activity",8,2,0.05,0.00107,"Molecular Functions",0.25
"226","LOC111125059","GO:0003924","GTPase activity",294,6,1.84,0.01066,"Molecular Functions",0.0204081632653061
"227","LOC111125059","GO:0005200","structural constituent of cytoskeleton",18,3,0.11,0.00018,"Molecular Functions",0.166666666666667
"228","LOC111125059","GO:0005200","structural constituent of cytoskeleton",18,3,0.11,0.00018,"Molecular Functions",0.166666666666667
"229","LOC111125059","GO:0005525","GTP binding",407,6,2.55,0.04339,"Molecular Functions",0.0147420147420147
"230","LOC111125059","GO:0005525","GTP binding",407,6,2.55,0.04339,"Molecular Functions",0.0147420147420147
"231","LOC111125472","GO:0035438","cyclic-di-GMP binding",13,2,0.08,0.00291,"Molecular Functions",0.153846153846154
"232","LOC111125472","GO:0061507","cyclic-GMP-AMP binding",13,2,0.08,0.00291,"Molecular Functions",0.153846153846154
"233","LOC111125548","GO:0003729","mRNA binding",160,7,1,0.00162,"Molecular Functions",0.04375
"234","LOC111125548","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"235","LOC111125548","GO:0003735","structural constituent of ribosome",174,10,1.09,1.5e-07,"Molecular Functions",0.0574712643678161
"236","LOC111126109","GO:0004550","nucleoside diphosphate kinase activity",8,2,0.05,0.00107,"Molecular Functions",0.25
"237","LOC111126109","GO:0004550","nucleoside diphosphate kinase activity",8,2,0.05,0.00107,"Molecular Functions",0.25
"238","LOC111126320","GO:0043035","chromatin insulator sequence binding",21,2,0.13,0.00759,"Molecular Functions",0.0952380952380952
"239","LOC111126659","GO:0046975","histone methyltransferase activity (H3-K36 specific)",6,1,0.04,0.03707,"Molecular Functions",0.166666666666667
